# x_m,y_m,z_m,rot_x,rot_y,rot_z,rot_w
3.89,-1.14, 0.000, 0.000, 0.000, 0.021, 1.000
46.23,-24.98, 0.000, 0.000, 0.000, 0.011, 1.000
51.01,-25.68, 0.000, 0.000, 0.000, 0.009, 1.000
51.83,-22.68, 0.000, 0.000, 0.000, 0.011, 1.000
43.39,-9.74, 0.000, 0.000, 0.000, 0.006, 1.000
44.22,-4.04, 0.000, 0.000, 0.000, 0.033, 0.999
59.02,12.90, 0.000, 0.000, 0.000, 0.010, 1.000
61.74,18.60, 0.000, 0.000, 0.000, 0.008, 1.000
66.74,25.60, 0.000, 0.000, 0.000, -0.005, 1.000
